TITLE	BSA_c15_g1over15_8.3mMYCl3
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	TOF
DATE	10/03/28
TIME	12:53:28
SPECTROMETER/DATA SYSTEM	
LOCALE	2057
RESOLUTION	
DELTAX	-0.5
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	  800.0000
LASTX	  250.0000
NPOINTS	    1101
FIRSTY	     0.00202
MAXY	     0.54365
MINY	     0.00175
XYDATA
800.0000	0.00202355
799.5000	0.00199246
799.0000	0.00197705
798.5000	0.00195348
798.0000	0.00195744
797.5000	0.00197795
797.0000	0.00196973
796.5000	0.00196453
796.0000	0.00194237
795.5000	0.0019689
795.0000	0.00198438
794.5000	0.00204527
794.0000	0.00206552
793.5000	0.00207446
793.0000	0.00205533
792.5000	0.00204368
792.0000	0.00202832
791.5000	0.00198626
791.0000	0.00195144
790.5000	0.00194931
790.0000	0.00195218
789.5000	0.00198245
789.0000	0.00199047
788.5000	0.00199283
788.0000	0.00198489
787.5000	0.00194303
787.0000	0.00192732
786.5000	0.00190746
786.0000	0.00189318
785.5000	0.00189646
785.0000	0.00191619
784.5000	0.00196846
784.0000	0.0019876
783.5000	0.00198552
783.0000	0.00199812
782.5000	0.00197508
782.0000	0.00194496
781.5000	0.00191109
781.0000	0.00189862
780.5000	0.00194796
780.0000	0.00197007
779.5000	0.00193611
779.0000	0.00190479
778.5000	0.00187799
778.0000	0.00188921
777.5000	0.00190725
777.0000	0.00189236
776.5000	0.00188634
776.0000	0.00189474
775.5000	0.00191688
775.0000	0.00194961
774.5000	0.00196232
774.0000	0.00195702
773.5000	0.00194416
773.0000	0.00193368
772.5000	0.00195009
772.0000	0.00197298
771.5000	0.0019845
771.0000	0.00197093
770.5000	0.00195088
770.0000	0.0019316
769.5000	0.00191319
769.0000	0.00191069
768.5000	0.00189422
768.0000	0.00189835
767.5000	0.00186799
767.0000	0.00188341
766.5000	0.00184242
766.0000	0.00181868
765.5000	0.00179464
765.0000	0.00180015
764.5000	0.00181989
764.0000	0.00184598
763.5000	0.00183936
763.0000	0.00184911
762.5000	0.00181402
762.0000	0.00181259
761.5000	0.00184206
761.0000	0.00188857
760.5000	0.0019347
760.0000	0.00194343
759.5000	0.00194963
759.0000	0.00193095
758.5000	0.00193825
758.0000	0.00190258
757.5000	0.00188546
757.0000	0.0018834
756.5000	0.00190871
756.0000	0.00190858
755.5000	0.00189106
755.0000	0.00188448
754.5000	0.00187906
754.0000	0.00185005
753.5000	0.00182357
753.0000	0.00180452
752.5000	0.00181278
752.0000	0.00181658
751.5000	0.0018146
751.0000	0.0018172
750.5000	0.00183127
750.0000	0.00183052
749.5000	0.00179651
749.0000	0.00177921
748.5000	0.00178315
748.0000	0.00180849
747.5000	0.00181383
747.0000	0.0017948
746.5000	0.00176124
