TITLE	BSA_c1_g1_8.3mMYCl3
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	TOF
DATE	10/03/28
TIME	10:49:29
SPECTROMETER/DATA SYSTEM	
LOCALE	2057
RESOLUTION	
DELTAX	-0.5
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	  800.0000
LASTX	  250.0000
NPOINTS	    1101
FIRSTY	    -0.00113
MAXY	     0.70314
MINY	    -0.00113
XYDATA
800.0000	-0.00113294
799.5000	-0.00113333
799.0000	-0.00111404
798.5000	-0.00109844
798.0000	-0.00109956
797.5000	-0.0010942
797.0000	-0.00108368
796.5000	-0.00107145
796.0000	-0.00108554
795.5000	-0.00105942
795.0000	-0.00103286
794.5000	-0.00103169
794.0000	-0.00102905
793.5000	-0.00104059
793.0000	-0.000995915
792.5000	-0.000990753
792.0000	-0.000977129
791.5000	-0.000995621
791.0000	-0.00102658
790.5000	-0.00102664
790.0000	-0.000979273
789.5000	-0.000939869
789.0000	-0.000907668
788.5000	-0.000936569
788.0000	-0.000963308
787.5000	-0.000985889
787.0000	-0.000987361
786.5000	-0.000950394
786.0000	-0.000931214
785.5000	-0.000918479
785.0000	-0.000956403
784.5000	-0.000984925
784.0000	-0.00102025
783.5000	-0.000984168
783.0000	-0.000945069
782.5000	-0.000913428
782.0000	-0.000922405
781.5000	-0.000925488
781.0000	-0.000924787
780.5000	-0.00090522
780.0000	-0.000898498
779.5000	-0.000879827
779.0000	-0.000898938
778.5000	-0.000894281
778.0000	-0.000898576
777.5000	-0.000862748
777.0000	-0.000848076
776.5000	-0.000850448
776.0000	-0.000859404
775.5000	-0.000868495
775.0000	-0.000864709
774.5000	-0.000843829
774.0000	-0.000824525
773.5000	-0.000800211
773.0000	-0.000787539
772.5000	-0.000777198
772.0000	-0.000772978
771.5000	-0.000778732
771.0000	-0.000755872
770.5000	-0.000745014
770.0000	-0.000742452
769.5000	-0.000753952
769.0000	-0.000762963
768.5000	-0.000757737
768.0000	-0.000779505
767.5000	-0.000788873
767.0000	-0.000786078
766.5000	-0.000755454
766.0000	-0.000756038
765.5000	-0.000756545
765.0000	-0.000745514
764.5000	-0.000744853
764.0000	-0.000731268
763.5000	-0.000731672
763.0000	-0.000722391
762.5000	-0.000727291
762.0000	-0.000724126
761.5000	-0.000705457
761.0000	-0.000693954
760.5000	-0.000678826
760.0000	-0.000659321
759.5000	-0.000637269
759.0000	-0.000608837
758.5000	-0.000609597
758.0000	-0.000615553
757.5000	-0.000623847
757.0000	-0.000631365
756.5000	-0.000613678
756.0000	-0.000604933
755.5000	-0.000593872
755.0000	-0.000577922
754.5000	-0.000578347
754.0000	-0.000573726
753.5000	-0.000596092
753.0000	-0.000619992
752.5000	-0.000620345
752.0000	-0.000607804
751.5000	-0.000575685
751.0000	-0.000571382
