TITLE	BSA_c1_g1_83mMYCl3_rep2
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	TOF
DATE	10/03/28
TIME	12:28:43
SPECTROMETER/DATA SYSTEM	
LOCALE	2057
RESOLUTION	
DELTAX	-0.5
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	  800.0000
LASTX	  250.0000
NPOINTS	    1101
FIRSTY	    -0.00163
MAXY	     0.62789
MINY	    -0.00163
XYDATA
800.0000	-0.00162849
799.5000	-0.00163099
799.0000	-0.00159574
798.5000	-0.00159747
798.0000	-0.00158787
797.5000	-0.00158108
797.0000	-0.00156935
796.5000	-0.00158656
796.0000	-0.0015944
795.5000	-0.00162292
795.0000	-0.00160416
794.5000	-0.00157639
794.0000	-0.0015605
793.5000	-0.00154558
793.0000	-0.00153292
792.5000	-0.00148065
792.0000	-0.00146026
791.5000	-0.00146715
791.0000	-0.00153534
790.5000	-0.00154486
790.0000	-0.00152219
789.5000	-0.00147934
789.0000	-0.00146282
788.5000	-0.00146742
788.0000	-0.00149615
787.5000	-0.00150665
787.0000	-0.00152518
786.5000	-0.00151847
786.0000	-0.00152048
785.5000	-0.00152308
785.0000	-0.00150208
784.5000	-0.00146943
784.0000	-0.00139288
783.5000	-0.00138176
783.0000	-0.00140918
782.5000	-0.00146704
782.0000	-0.00150934
781.5000	-0.00149999
781.0000	-0.00148065
780.5000	-0.00143078
780.0000	-0.00143156
779.5000	-0.00145989
779.0000	-0.00148403
778.5000	-0.00148094
778.0000	-0.00145237
777.5000	-0.00142038
777.0000	-0.00139156
776.5000	-0.00138351
776.0000	-0.00135558
775.5000	-0.0013408
775.0000	-0.00134117
774.5000	-0.00136347
774.0000	-0.00140339
773.5000	-0.00140379
773.0000	-0.00138513
772.5000	-0.00132165
772.0000	-0.00127717
771.5000	-0.00125322
771.0000	-0.00126
770.5000	-0.00128955
770.0000	-0.00130814
769.5000	-0.00133285
769.0000	-0.00133152
768.5000	-0.00130788
768.0000	-0.00127912
767.5000	-0.00125473
767.0000	-0.00125233
766.5000	-0.00127379
766.0000	-0.00129126
765.5000	-0.00127633
765.0000	-0.00127815
764.5000	-0.00127498
764.0000	-0.00126208
763.5000	-0.00124336
763.0000	-0.00120783
762.5000	-0.00119811
762.0000	-0.00119076
761.5000	-0.00117381
761.0000	-0.00115815
760.5000	-0.00111581
760.0000	-0.00109425
759.5000	-0.0010829
759.0000	-0.0010999
758.5000	-0.00111446
758.0000	-0.00111097
757.5000	-0.00113181
757.0000	-0.0011324
756.5000	-0.00115577
756.0000	-0.0011477
755.5000	-0.00111929
755.0000	-0.0010733
754.5000	-0.00108955
754.0000	-0.00109543
753.5000	-0.00109165
753.0000	-0.00105816
752.5000	-0.00102174
752.0000	-0.00103046
751.5000	-0.00106283
751.0000	-0.00110423
