Angle	q²[1/m²]	CR[kHz]	dCR[%]	Imon	dImon[%]	T[K]	dT[%]	Kc/R	dKc/R[%]	Rad[nm]	dRad[%]
30.000	4.687E+13	239.540	1.04	1633049	0.06	295.66	0.00	1.243E-05	0.98	3.95	1.79
40.000	8.185E+13	187.114	0.27	1633690	0.14	295.66	0.00	1.236E-05	0.13	3.92	2.02
50.000	1.250E+14	159.700	0.31	1632073	0.10	295.67	0.00	1.214E-05	0.21	3.93	0.41
60.000	1.749E+14	141.392	0.11	1633463	0.07	295.67	0.00	1.222E-05	0.04	3.95	1.23
70.000	2.302E+14	129.942	0.24	1633112	0.15	295.67	0.00	1.228E-05	0.09	3.93	3.52
80.000	2.891E+14	124.824	0.25	1632087	0.10	295.67	0.00	1.223E-05	0.14	3.96	1.85
90.000	3.498E+14	123.936	0.26	1630929	0.19	295.68	0.00	1.215E-05	0.06	4.00	0.98
100.000	4.106E+14	125.311	0.13	1632818	0.06	295.69	0.00	1.222E-05	0.08	3.98	1.00
110.000	4.695E+14	131.226	0.12	1631868	0.09	295.69	0.00	1.224E-05	0.02	3.97	1.56
120.000	5.248E+14	143.655	0.03	1630247	0.19	295.69	0.00	1.211E-05	0.16	3.99	1.38
130.000	5.747E+14	161.230	0.28	1631974	0.09	295.70	0.00	1.220E-05	0.19	3.99	1.55
140.000	6.178E+14	190.189	0.26	1632884	0.07	295.70	0.00	1.232E-05	0.18	4.02	1.00
150.000	6.528E+14	250.615	0.22	1629591	0.13	295.71	0.00	1.206E-05	0.09	4.19	0.63
