TITLE	BSA_c30_g1over30_8.3mMYCl3
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	TOF
DATE	10/03/28
TIME	11:26:55
SPECTROMETER/DATA SYSTEM	
LOCALE	2057
RESOLUTION	
DELTAX	-0.5
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	  800.0000
LASTX	  250.0000
NPOINTS	    1101
FIRSTY	    -0.00158
MAXY	     0.56613
MINY	    -0.00158
XYDATA
800.0000	-0.00158084
799.5000	-0.00156728
799.0000	-0.00155818
798.5000	-0.00156708
798.0000	-0.00157979
797.5000	-0.00156446
797.0000	-0.00156027
796.5000	-0.00153938
796.0000	-0.00155505
795.5000	-0.00155508
795.0000	-0.00153018
794.5000	-0.00149228
794.0000	-0.00146326
793.5000	-0.00144534
793.0000	-0.00142756
792.5000	-0.00140462
792.0000	-0.0014085
791.5000	-0.00142174
791.0000	-0.00143723
790.5000	-0.00140463
790.0000	-0.00140902
789.5000	-0.0013987
789.0000	-0.00146686
788.5000	-0.00149671
788.0000	-0.00148688
787.5000	-0.001447
787.0000	-0.00138851
786.5000	-0.00138609
786.0000	-0.00140057
785.5000	-0.00145228
785.0000	-0.00148304
784.5000	-0.00152757
784.0000	-0.00154085
783.5000	-0.00153058
783.0000	-0.00152852
782.5000	-0.00151544
782.0000	-0.00148886
781.5000	-0.00145188
781.0000	-0.00145423
780.5000	-0.0014492
780.0000	-0.0014584
779.5000	-0.00145032
779.0000	-0.00145601
778.5000	-0.00144172
778.0000	-0.00140779
777.5000	-0.00136436
777.0000	-0.00135445
776.5000	-0.00136521
776.0000	-0.00139455
775.5000	-0.00138746
775.0000	-0.00140892
774.5000	-0.00138304
774.0000	-0.00137235
773.5000	-0.00134594
773.0000	-0.0013726
772.5000	-0.00137777
772.0000	-0.00136611
771.5000	-0.00133597
771.0000	-0.0013051
770.5000	-0.00132101
770.0000	-0.00131315
769.5000	-0.0013322
769.0000	-0.00131485
768.5000	-0.00131304
768.0000	-0.00131495
767.5000	-0.00130597
767.0000	-0.00130057
766.5000	-0.00129367
766.0000	-0.00130957
765.5000	-0.00132168
765.0000	-0.00134553
764.5000	-0.00133464
764.0000	-0.00131164
763.5000	-0.00130319
763.0000	-0.00129467
762.5000	-0.00129607
762.0000	-0.00128607
761.5000	-0.00129299
761.0000	-0.00129747
760.5000	-0.00129753
760.0000	-0.0012868
759.5000	-0.00127376
759.0000	-0.00125711
758.5000	-0.00124269
758.0000	-0.00122348
757.5000	-0.00124048
757.0000	-0.00124442
756.5000	-0.00126768
756.0000	-0.00127023
755.5000	-0.00123636
755.0000	-0.00118266
754.5000	-0.00114237
754.0000	-0.00113331
753.5000	-0.00116279
753.0000	-0.00121084
752.5000	-0.00125926
752.0000	-0.00127224
751.5000	-0.00128089
751.0000	-0.00125541
